id,name,now_cost,position,team,points_per_game_rank_type,selected_rank,bonus,penalties_saved,direct_freekicks_order,form_rank_type,ict_index,expected_goals_conceded_per_90,goals_conceded,saves,points_per_game,yellow_cards,minutes,penalties_missed,saves_per_90,starts_per_90,expected_goal_involvements_per_90,chance_of_playing_next_round,expected_goal_involvements,corners_and_indirect_freekicks_order,now_cost_rank,creativity_rank,ict_index_rank,creativity,expected_goals_conceded,goals_conceded_per_90,ep_next,starts,own_goals,now_cost_rank_type,web_name,clean_sheets,selected_by_percent,creativity_rank_type,threat,clean_sheets_per_90,threat_rank,points_per_game_rank,news,bps,news_added,red_cards,influence_rank_type,expected_assists,selected_rank_type,value_season,form_rank,influence_rank,total_points,status,ict_index_rank_type,expected_assists_per_90,influence,goals_scored,expected_goals_per_90,expected_goals,assists,threat_rank_type,penalties_order
139,Tariq Lamptey,40,DEF,Brighton,127,48,0,0,,30,20.6,1.31,7,0,1.1,1,439,0,0.0,0.62,0.17,,0.84,,577,250,314,87.2,6.37,1.44,1.5,3,0,177,Lamptey,1,8.4,83,48.0,0.21,284,355,,91,,0,124,0.64,17,5.8,65,323,23,a,117,0.13,70.6,0,0.04,0.20,0,103,
140,Solly March,65,MID,Brighton,9,106,16,0,2.0,228,271.4,1.24,40,0,4.5,2,2719,0,0.0,1.03,0.43,,12.91,2.0,42,11,12,965.8,37.58,1.32,2.8,31,0,26,March,10,2.9,9,955.0,0.33,17,19,,559,,0,10,5.90,38,22.6,562,24,147,a,9,0.2,791.8,6,0.23,7.01,10,8,
141,Tom McGill,40,GKP,Brighton,49,379,0,0,,29,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,567,414,426,0.0,0.00,0.0,1.5,0,0,58,McGill,0,0.2,39,0.0,0.0,398,431,,0,,0,49,0.00,55,0.0,55,424,0,a,49,0.0,0.0,0,0.0,0.00,0,30,
142,James Milner,50,MID,Brighton,146,355,0,0,,69,49.5,1.37,12,0,1.4,2,889,0,0.0,0.71,0.21,,2.03,,147,141,231,222.7,13.56,1.21,2.1,7,0,94,Milner,3,0.2,94,93.0,0.3,228,333,,187,,0,114,1.63,112,8.4,320,258,42,a,110,0.17,179.6,0,0.04,0.40,1,123,
143,Kaoru Mitoma,65,MID,Brighton,17,5,11,0,,235,200.4,1.38,35,0,4.2,0,2311,0,0.0,0.93,0.51,,13.22,,53,42,30,569.4,35.52,1.36,2.8,24,0,33,Mitoma,8,37.2,35,867.0,0.31,24,36,,457,,0,38,4.93,3,21.2,573,81,138,a,22,0.19,569.6,7,0.32,8.29,9,15,
144,Jakub Moder,45,MID,Brighton,200,505,0,0,,26,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,439,509,512,0.0,0.00,0.0,1.5,0,0,218,Moder,0,0.1,199,0.0,0.0,500,515,,0,,0,197,0.00,171,0.0,246,510,0,a,197,0.0,0.0,0,0.0,0.00,0,194,
145,Robert Sánchez,45,GKP,Brighton,15,82,10,1,,57,43.9,1.2,30,48,3.6,2,2070,0,2.09,1.0,0.0,,0.01,,401,368,251,0.1,27.60,1.3,2.8,23,0,25,Sanchez,6,4.6,9,0.0,0.26,481,80,,380,,0,16,0.01,13,18.2,208,124,82,a,16,0.0,439.0,0,0.0,0.00,0,58,
146,Jeremy Sarmiento Morante,45,MID,Brighton,118,439,0,0,,38,12.9,1.48,2,0,1.8,1,168,0,0.0,0.54,0.32,0.0,0.60,,464,301,332,38.2,2.76,1.07,0.0,1,0,230,Sarmiento,1,0.1,154,50.0,0.54,282,283,Joined West Bromwich Albion on a season-long loan,40,2023-07-26T11:28:45.117167Z,0,154,0.27,141,3.6,271,344,16,u,153,0.14,46.6,0,0.18,0.33,2,143,
147,Kjell Scherpen,40,GKP,Brighton,56,612,0,0,,37,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00,,582,426,437,0.0,0.00,0.0,0.0,0,0,66,Scherpen,0,0.0,47,0.0,0.0,411,442,Joined Sturm Graz on a season-long loan,0,2023-07-06T16:30:02.985300Z,0,56,0.00,72,0.0,70,435,0,u,56,0.0,0.0,0,0.0,0.00,0,38,
148,Jason Steele,45,GKP,Brighton,6,63,8,1,,46,39.1,1.56,23,37,4.3,1,1350,0,2.47,1.0,0.01,,0.15,,303,338,267,13.0,23.46,1.53,2.8,15,1,14,Steele,6,6.1,6,0.0,0.4,443,26,,332,,0,17,0.15,11,14.4,110,162,65,a,17,0.01,377.6,0,0.0,0.00,1,47,
149,Deniz Undav,55,FWD,Brighton,23,247,4,0,,48,69.1,1.32,9,0,2.4,2,614,0,0.0,0.88,0.9,0.0,6.14,,140,203,187,124.0,9.03,1.32,0.0,6,1,36,Undav,2,0.5,24,372.0,0.29,91,212,Season long loan to Stuttgart,173,2023-08-04T09:40:56.708875Z,0,24,1.25,45,9.5,528,249,52,u,23,0.18,196.4,5,0.72,4.89,2,24,
150,Jan Paul van Hecke,40,DEF,Brighton,137,176,0,0,,50,8.8,2.08,7,0,0.8,2,291,0,0.0,0.93,0.18,,0.59,,600,345,342,5.8,6.72,2.16,1.5,3,0,197,Van Hecke,0,0.9,128,10.0,0.0,330,391,,54,,0,123,0.04,58,1.5,88,322,6,a,126,0.01,71.4,0,0.17,0.55,0,127,
151,Joël Veltman,45,DEF,Brighton,37,151,6,0,,88,77.4,1.13,29,0,3.1,6,2183,0,0.0,1.03,0.11,,2.74,,339,151,160,201.3,27.53,1.2,2.5,25,0,64,Veltman,10,1.3,37,162.0,0.41,168,125,,447,,0,51,1.02,48,21.1,146,143,95,a,41,0.04,407.2,1,0.07,1.72,1,30,
152,Bart Verbruggen,45,GKP,Brighton,70,193,0,0,,61,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,495,538,542,0.0,0.00,0.0,2.8,0,0,29,Verbruggen,0,0.8,67,0.0,0.0,533,543,,0,,0,70,0.00,30,0.0,302,541,0,a,70,0.0,0.0,0,0.0,0.00,0,62,
153,Adam Webster,45,DEF,Brighton,57,254,3,0,,87,59.2,1.17,27,0,2.8,2,1983,0,0.0,1.04,0.1,,2.17,,337,229,207,104.3,25.80,1.23,2.5,23,1,63,Webster,9,0.4,72,126.0,0.41,195,164,,405,,0,63,0.45,86,16.7,144,171,75,a,67,0.02,361.8,0,0.08,1.72,0,49,
154,Danny Welbeck,60,FWD,Brighton,17,120,5,0,,52,155.4,1.29,28,0,2.9,0,1844,0,0.0,1.02,0.5,,10.24,,56,82,59,390.6,26.45,1.37,2.6,21,0,19,Welbeck,6,2.1,5,782.0,0.29,26,158,,296,,0,14,1.65,25,15.2,535,161,91,a,10,0.08,378.2,6,0.42,8.59,5,10,3.0
155,Andi Zeqiri,45,FWD,Brighton,47,169,0,0,,4,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,391,488,491,0.0,0.00,0.0,1.5,0,0,61,Zeqiri,0,1.0,45,0.0,0.0,478,495,,0,,0,45,0.00,34,0.0,198,489,0,a,47,0.0,0.0,0,0.0,0.00,0,47,
606,Igor Julio dos Santos de Paulo,45,DEF,Brighton,193,443,0,0,,140,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,418,497,500,0.0,0.00,0.0,2.5,0,0,116,Igor,0,0.1,193,0.0,0.0,488,503,,0,,0,193,0.00,173,0.0,225,498,0,a,193,0.0,0.0,0,0.0,0.00,0,192,
156,Enock Agyei,45,MID,Burnley,225,336,0,0,,67,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,511,550,554,0.0,0.00,0.0,-0.5,0,0,259,Agyei,0,0.2,224,0.0,0.0,545,555,,0,,0,224,0.00,105,0.0,318,553,0,a,224,0.0,0.0,0,0.0,0.00,0,223,
157,Ameen Al-Dakhil,40,DEF,Burnley,177,226,0,0,,56,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,608,449,458,0.0,0.00,0.0,-0.5,0,0,203,Al-Dakhil,0,0.6,176,0.0,0.0,434,463,,0,,0,176,0.00,76,0.0,96,456,0,a,176,0.0,0.0,0,0.0,0.00,0,175,
158,Samuel Bastien,50,MID,Burnley,242,565,0,0,,121,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,221,572,574,0.0,0.00,0.0,0.1,0,0,146,Bastien,0,0.0,242,0.0,0.0,570,574,,0,,0,242,0.00,218,0.0,394,573,0,a,242,0.0,0.0,0,0.0,0.00,0,242,
159,Manuel Benson Hedilazio,55,MID,Burnley,256,291,0,0,,186,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,3.0,110,601,601,0.0,0.00,0.0,0.5,0,0,68,Benson,0,0.3,256,0.0,0.0,601,601,,0,,0,256,0.00,93,0.0,498,601,0,a,256,0.0,0.0,0,0.0,0.00,0,256,
160,Jordan Beyer,40,DEF,Burnley,159,60,0,0,,34,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,583,427,438,0.0,0.00,0.0,-0.5,0,0,181,Beyer,0,6.3,157,0.0,0.0,412,443,,0,,0,158,0.00,22,0.0,71,436,0,a,158,0.0,0.0,0,0.0,0.00,0,156,
161,Josh Brownhill,50,MID,Burnley,240,256,0,0,3.0,114,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,1.0,211,568,570,0.0,0.00,0.0,0.1,0,0,139,Brownhill,0,0.4,240,0.0,0.0,566,570,,0,,0,240,0.00,85,0.0,384,569,0,a,240,0.0,0.0,0,0.0,0.00,0,240,
162,Darko Churlinov,45,MID,Burnley,204,548,0,0,,32,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,450,516,520,0.0,0.00,0.0,-0.5,0,0,224,Churlinov,0,0.1,203,0.0,0.0,508,522,,0,,0,202,0.00,204,0.0,257,518,0,a,202,0.0,0.0,0,0.0,0.00,0,199,
163,Jack Cork,50,MID,Burnley,227,567,0,0,,71,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,150,553,556,0.0,0.00,0.0,0.1,0,0,96,Cork,0,0.0,226,0.0,0.0,548,557,,0,,0,226,0.00,220,0.0,323,555,0,a,226,0.0,0.0,0,0.0,0.00,0,225,
164,Dara Costelloe,45,MID,Burnley,222,563,0,0,,64,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,506,545,549,0.0,0.00,0.0,-0.5,0,0,256,Costelloe,0,0.0,221,0.0,0.0,540,550,,0,,0,221,0.00,216,0.0,313,548,0,a,221,0.0,0.0,0,0.0,0.00,0,220,
165,Josh Cullen,50,MID,Burnley,239,537,0,0,,113,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,210,567,569,0.0,0.00,0.0,0.1,0,0,138,Cullen,0,0.1,239,0.0,0.0,565,569,,0,,0,239,0.00,193,0.0,383,568,0,a,239,0.0,0.0,0,0.0,0.00,0,239,
166,CJ Egan-Riley,40,DEF,Burnley,163,370,0,0,,39,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,589,432,443,0.0,0.00,0.0,-0.5,0,0,186,Egan-Riley,0,0.2,161,0.0,0.0,417,448,,0,,0,162,0.00,137,0.0,77,441,0,a,162,0.0,0.0,0,0.0,0.00,0,160,
167,Hjalmar Ekdal,40,DEF,Burnley,173,298,0,0,,52,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,603,444,454,0.0,0.00,0.0,-0.5,0,0,199,Ekdal,0,0.3,172,0.0,0.0,429,459,,0,,0,172,0.00,105,0.0,91,452,0,a,172,0.0,0.0,0,0.0,0.00,0,171,
168,Lyle Foster,50,FWD,Burnley,64,396,0,0,,33,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,266,590,590,0.0,0.00,0.0,-0.1,0,0,53,Foster,0,0.2,64,0.0,0.0,587,590,,0,,0,64,0.00,65,0.0,439,590,0,a,64,0.0,0.0,0,0.0,0.00,0,64,
169,Denis Franchi,40,GKP,Burnley,59,366,0,0,,41,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,609,450,459,0.0,0.00,0.0,-0.5,0,0,70,Franchi,0,0.2,51,0.0,0.0,435,464,,0,,0,59,0.00,53,0.0,97,457,0,a,59,0.0,0.0,0,0.0,0.00,0,42,
170,Jóhann Berg Gudmundsson,50,MID,Burnley,230,534,0,0,2.0,77,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,2.0,160,556,559,0.0,0.00,0.0,0.1,0,0,102,Gudmundsson,0,0.1,229,0.0,0.0,551,560,,0,,0,229,0.00,191,0.0,333,558,0,a,229,0.0,0.0,0,0.0,0.00,0,228,
171,Luke McNally,40,DEF,Burnley,176,392,0,0,,55,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00,,606,447,457,0.0,0.00,0.0,0.0,0,0,202,McNally,0,0.2,175,0.0,0.0,432,462,Season long loan to Stoke City,0,2023-08-04T09:35:51.951556Z,0,175,0.00,150,0.0,94,455,0,u,175,0.0,0.0,0,0.0,0.00,0,174,
172,Arijanet Muric,45,GKP,Burnley,68,251,0,0,,59,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,430,504,507,0.0,0.00,0.0,0.8,0,0,27,Muric,0,0.5,65,0.0,0.0,495,510,,0,,0,68,0.00,38,0.0,237,505,0,a,68,0.0,0.0,0,0.0,0.00,0,60,
173,Dara O'Shea,45,DEF,Burnley,191,364,0,0,,132,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,405,492,495,0.0,0.00,0.0,0.5,0,0,108,O'Shea,0,0.2,191,0.0,0.0,483,499,,0,,0,191,0.00,135,0.0,212,493,0,a,191,0.0,0.0,0,0.0,0.00,0,190,
174,Michael Obafemi,50,FWD,Burnley,61,334,0,0,,26,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,244,582,584,0.0,0.00,0.0,-0.1,0,0,46,Obafemi,0,0.2,60,0.0,0.0,580,584,,0,,0,60,0.00,57,0.0,417,583,0,a,61,0.0,0.0,0,0.0,0.00,0,61,
175,Bailey Peacock-Farrell,40,GKP,Burnley,52,474,0,0,,32,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00,,572,419,431,0.0,0.00,0.0,0.0,0,0,61,Peacock-Farrell,0,0.1,42,0.0,0.0,403,436,Joined Aarhus on loan,0,2023-07-26T11:25:50.410533Z,0,52,0.00,61,0.0,60,429,0,u,52,0.0,0.0,0,0.0,0.00,0,33,
176,Connor Roberts,45,DEF,Burnley,186,260,0,0,,112,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,379,484,487,0.0,0.00,0.0,0.5,0,0,88,Roberts,0,0.4,186,0.0,0.0,474,491,,0,,0,186,0.00,88,0.0,186,485,0,a,186,0.0,0.0,0,0.0,0.00,0,185,
177,Jay Rodriguez,55,FWD,Burnley,66,349,0,0,,38,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,80,598,598,0.0,0.00,0.0,0.3,0,0,26,Rodriguez,0,0.2,66,0.0,0.0,595,598,,0,,0,66,0.00,60,0.0,468,598,0,a,66,0.0,0.0,0,0.0,0.00,0,66,1.0
178,Charlie Taylor,40,DEF,Burnley,141,166,0,0,,7,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,533,386,401,0.0,0.00,0.0,-0.5,0,0,154,Taylor,0,1.1,139,0.0,0.0,368,406,,0,,0,140,0.00,54,0.0,21,399,0,a,140,0.0,0.0,0,0.0,0.00,0,135,
179,Bobby Thomas,40,DEF,Burnley,170,469,0,0,,48,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00,,598,440,450,0.0,0.00,0.0,0.0,0,0,195,Thomas,0,0.1,169,0.0,0.0,425,455,Permanent transfer to Coventry,0,2023-07-24T09:55:44.165399Z,0,169,0.00,185,0.0,86,448,0,u,169,0.0,0.0,0,0.0,0.00,0,168,
180,Scott Twine,50,MID,Burnley,250,542,0,0,1.0,137,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,250,587,588,0.0,0.00,0.0,0.1,0,0,162,Twine,0,0.1,250,0.0,0.0,585,588,,0,,0,250,0.00,198,0.0,423,587,0,a,250,0.0,0.0,0,0.0,0.00,0,250,
181,Lawrence Vigouroux,40,GKP,Burnley,42,296,0,0,,20,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,546,397,411,0.0,0.00,0.0,-0.5,0,0,49,Vigouroux,0,0.3,30,0.0,0.0,380,416,,0,,0,42,0.00,46,0.0,34,409,0,a,42,0.0,0.0,0,0.0,0.00,0,21,
182,Victor da Silva,45,DEF,Burnley,201,390,0,0,,160,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,465,524,527,0.0,0.00,0.0,0.5,0,0,136,Vitinho,0,0.2,201,0.0,0.0,516,529,,0,,0,201,0.00,148,0.0,272,526,0,a,201,0.0,0.0,0,0.0,0.00,0,200,
183,Wout Weghorst,55,FWD,Burnley,38,220,0,0,,40,42.4,1.66,11,0,1.4,1,790,0,0.0,1.14,0.36,,3.18,,91,161,257,183.7,14.60,1.25,0.3,10,0,28,Weghorst,4,0.6,18,144.0,0.46,185,339,,56,,0,31,1.16,41,4.4,479,302,24,a,32,0.13,97.6,0,0.23,2.02,1,34,
184,Anass Zaroury,50,MID,Burnley,253,383,0,0,,162,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,287,594,594,0.0,0.00,0.0,0.1,0,0,187,Zaroury,0,0.2,253,0.0,0.0,591,594,,0,,0,253,0.00,120,0.0,460,594,0,a,253,0.0,0.0,0,0.0,0.00,0,253,
594,Zeki Amdouni,55,FWD,Burnley,72,471,0,0,,50,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,143,607,607,0.0,0.00,0.0,0.3,0,0,38,Amdouni,0,0.1,72,0.0,0.0,607,607,,0,,0,72,0.00,70,0.0,531,607,0,a,72,0.0,0.0,0,0.0,0.00,0,72,
596,James Trafford,45,GKP,Burnley,69,165,0,0,,60,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,455,520,524,0.0,0.00,0.0,0.8,0,0,28,Trafford,0,1.1,66,0.0,0.0,512,526,,0,,0,69,0.00,22,0.0,262,522,0,a,69,0.0,0.0,0,0.0,0.00,0,61,
600,Nathan Redmond,50,MID,Burnley,177,559,0,0,,83,0.0,1.8,0,0,1.0,0,1,0,0.0,0.0,0.0,,0.00,,168,559,562,0.0,0.02,0.0,0.1,0,0,108,Redmond,0,0.0,232,0.0,0.0,554,381,,3,,0,232,0.00,214,0.2,341,561,1,a,232,0.0,0.0,0,0.0,0.00,0,231,
605,Luca Koleosho,50,MID,Burnley,251,610,0,0,,159,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,284,592,592,0.0,0.00,0.0,0.1,0,0,184,Koleosho,0,0.0,251,0.0,0.0,589,592,,0,,0,251,0.00,258,0.0,457,592,0,a,251,0.0,0.0,0,0.0,0.00,0,251,
608,Jacob Bruun Larsen,50,MID,Burnley,241,606,0,0,,116,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,215,570,572,0.0,0.00,0.0,0.1,0,0,141,Bruun Larsen,0,0.0,241,0.0,0.0,568,572,,0,,0,241,0.00,255,0.0,388,571,0,a,241,0.0,0.0,0,0.0,0.00,0,241,
185,Ethan Ampadu,40,DEF,Chelsea,151,512,0,0,,23,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00,,561,408,421,0.0,0.00,0.0,0.0,0,0,170,Ampadu,0,0.1,149,0.0,0.0,392,426,Permanent transfer to Leeds Utd,0,2023-07-20T08:39:43.633400Z,0,150,0.00,199,0.0,49,419,0,u,150,0.0,0.0,0,0.0,0.00,0,147,
186,Andrey Nascimento dos Santos,45,MID,Chelsea,223,399,0,0,,65,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,507,546,550,0.0,0.00,0.0,0.5,0,0,257,Andrey,0,0.2,222,0.0,0.0,541,551,,0,,0,222,0.00,125,0.0,314,549,0,a,222,0.0,0.0,0,0.0,0.00,0,221,
187,Kepa Arrizabalaga,50,GKP,Chelsea,8,139,15,0,,64,73.3,1.35,33,91,4.1,1,2565,0,3.19,1.02,0.0,,0.00,,183,369,174,0.1,38.34,1.16,2.7,29,0,6,Arrizabalaga,9,1.6,10,0.0,0.32,558,40,,575,,0,9,0.00,17,23.6,356,34,118,a,9,0.0,733.4,0,0.0,0.00,0,65,
188,Pierre-Emerick Aubameyang,65,FWD,Chelsea,33,433,3,0,,59,28.5,1.43,8,0,1.7,1,546,0,0.0,0.82,0.28,0.0,1.71,,39,279,296,59.4,8.66,1.32,0.0,5,0,14,Aubameyang,1,0.1,34,177.0,0.16,163,300,,61,2023-07-24T09:59:36.133419Z,0,36,0.18,69,3.8,559,336,25,u,34,0.03,55.0,1,0.25,1.53,0,32,
189,César Azpilicueta,45,DEF,Chelsea,104,609,4,0,,62,58.4,1.62,21,0,1.8,3,1521,0,0.0,0.95,0.09,0.0,1.60,,300,145,211,211.2,27.38,1.24,0.0,16,1,38,Azpilicueta,3,0.0,35,102.0,0.18,221,279,Left the club as a free agent,242,2023-07-06T16:30:03.010661Z,0,79,1.25,205,10.0,107,212,45,u,70,0.07,272.0,0,0.02,0.35,0,66,
190,Abdul Rahman Baba,40,DEF,Chelsea,145,592,0,0,,12,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00,,542,394,408,0.0,0.00,0.0,0.0,0,0,159,Baba,0,0.0,143,0.0,0.0,376,413,Permanent Transfer to PAOK,0,2023-07-13T08:07:47.494096Z,0,144,0.00,203,0.0,30,406,0,u,144,0.0,0.0,0,0.0,0.00,0,139,
191,Benoît Badiashile,45,DEF,Chelsea,21,299,2,0,,152,35.1,1.23,9,0,3.6,2,904,0,0.0,1.0,0.15,0.0,1.46,,438,288,275,49.1,12.31,0.9,0.0,10,0,128,B.Badiashile,4,0.3,103,81.0,0.4,241,82,Hamstring injury - Unknown return date,209,2023-08-03T10:30:04.564668Z,0,92,0.20,106,8.9,245,235,40,i,99,0.02,219.8,1,0.13,1.26,0,80,
192,Marcus Bettinelli,40,GKP,Chelsea,41,497,0,0,,19,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00,,544,395,409,0.0,0.00,0.0,0.0,0,0,48,Bettinelli,0,0.1,29,0.0,0.0,378,414,Unknown - Unknown return date,0,2023-08-03T10:30:04.581002Z,0,41,0.00,65,0.0,32,407,0,i,41,0.0,0.0,0,0.0,0.00,0,20,
193,Armando Broja,50,FWD,Chelsea,32,333,0,0,,34,19.7,1.42,5,0,1.8,0,285,0,0.0,0.63,0.29,0.0,0.90,,271,324,315,18.2,4.49,1.58,0.0,2,0,54,Broja,1,0.2,38,113.0,0.32,212,289,Knee injury - Unknown return date,56,2023-08-03T10:30:04.596081Z,0,34,0.06,56,4.2,444,330,21,i,35,0.02,64.6,1,0.27,0.84,1,35,
194,Trevoh Chalobah,45,DEF,Chelsea,98,301,1,0,,108,50.3,1.74,24,0,2.0,4,1601,0,0.0,1.01,0.07,,1.14,,373,242,229,94.0,30.99,1.35,1.5,18,1,84,Chalobah,5,0.3,77,112.0,0.28,215,255,,318,,0,69,0.32,107,10.9,180,193,49,a,79,0.02,294.6,0,0.05,0.82,0,62,
195,Ben Chilwell,55,DEF,Chelsea,46,39,4,0,,198,84.2,1.17,19,0,3.0,3,1402,0,0.0,0.96,0.26,,4.06,1.0,107,84,144,382.6,18.25,1.22,2.1,15,0,9,Chilwell,4,10.9,15,178.0,0.26,162,141,,302,,0,74,2.49,12,12.7,495,203,70,a,33,0.16,283.4,2,0.1,1.57,3,27,
196,Carney Chukwuemeka,45,MID,Chelsea,153,126,0,0,,49,25.7,2.13,7,0,1.3,0,342,0,0.0,0.53,0.25,,0.94,,484,218,305,113.5,8.10,1.84,0.5,2,0,241,Chukwuemeka,1,1.9,127,78.0,0.26,246,345,,71,,0,146,0.61,45,4.0,291,329,18,a,141,0.16,66.0,0,0.09,0.33,0,128,
197,Levi Colwill,45,DEF,Chelsea,64,108,6,0,,163,38.9,1.64,21,0,2.7,1,1218,0,0.0,0.96,0.12,,1.72,,472,234,268,101.9,22.20,1.55,1.5,13,0,139,Colwill,3,2.8,75,50.0,0.22,283,176,,249,,0,83,0.31,35,10.2,279,225,46,a,94,0.02,236.2,0,0.1,1.41,2,102,
198,Marc Cucurella Saseta,50,DEF,Chelsea,65,227,1,0,,183,65.9,1.4,20,0,2.7,4,1669,0,0.0,1.13,0.07,,1.34,,214,131,194,232.5,26.03,1.08,1.8,21,0,23,Cucurella,6,0.6,29,72.0,0.32,255,178,,363,,0,64,0.96,77,13.0,387,174,65,a,60,0.05,354.4,0,0.02,0.38,2,87,
199,Enzo Fernández,50,MID,Chelsea,84,88,1,0,4.0,153,72.6,1.45,25,0,2.3,3,1547,0,0.0,1.05,0.2,,3.42,,276,97,179,334.3,24.91,1.45,1.1,18,0,178,Enzo,3,3.7,73,74.0,0.17,252,215,,265,,0,82,2.64,30,8.4,449,181,42,a,95,0.15,315.8,0,0.05,0.78,2,132,
200,David Datro Fofana,50,FWD,Chelsea,42,591,0,0,,36,8.0,2.28,1,0,1.0,0,68,0,0.0,1.32,0.8,0.0,0.61,,289,305,348,34.6,1.72,1.32,0.0,1,0,56,D.D.Fofana,0,0.0,36,30.0,0.0,306,386,Joined Union Berlin on a season-long loan - Expected back 01 Jul,8,2023-07-11T09:30:03.546600Z,0,39,0.04,76,0.6,462,362,3,u,39,0.05,15.2,0,0.75,0.57,0,40,
201,Wesley Fofana,45,DEF,Chelsea,86,400,4,0,,161,44.4,1.52,24,0,2.2,4,1362,0,0.0,0.93,0.07,0.0,1.03,,467,278,250,59.6,22.96,1.59,0.0,14,0,137,W.Fofana,2,0.2,99,86.0,0.13,233,224,Knee injury - Unknown return date,244,2023-07-18T23:30:03.865981Z,0,70,0.29,153,8.2,274,194,37,i,87,0.02,294.6,1,0.05,0.74,0,74,
202,Conor Gallagher,55,MID,Chelsea,117,249,7,0,,200,106.5,1.73,23,0,1.9,9,1608,0,0.0,1.01,0.24,,4.28,5.0,128,94,107,351.5,30.95,1.29,1.5,18,0,82,Gallagher,4,0.5,71,329.0,0.22,97,277,,279,,1,68,1.73,82,12.0,516,154,66,a,70,0.1,386.2,3,0.14,2.55,1,66,
203,Malo Gusto,40,DEF,Chelsea,175,137,0,0,,54,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,605,446,456,0.0,0.00,0.0,0.5,0,0,201,Gusto,0,1.6,174,0.0,0.0,431,461,,0,,0,174,0.00,45,0.0,93,454,0,a,174,0.0,0.0,0,0.0,0.00,0,173,
204,Lewis Hall,45,DEF,Chelsea,92,387,3,0,,168,48.8,1.83,11,0,2.1,1,653,0,0.0,1.1,0.31,,2.29,,493,139,234,225.8,13.29,1.52,1.5,8,0,144,Hall,1,0.2,32,127.0,0.14,194,238,,118,,0,113,1.46,146,4.2,300,285,19,a,81,0.2,134.4,0,0.11,0.83,0,48,
